Item1,Item2,Count
Afternoon with the baker,Afternoon with the baker,1
Afternoon with the baker,Argentina Night,2
Afternoon with the baker,Bread,4
Afternoon with the baker,Brownie,2
Afternoon with the baker,Cake,1
Afternoon with the baker,Coffee,4
Afternoon with the baker,Cookies,2
Afternoon with the baker,Duck egg,1
Afternoon with the baker,Extra Salami or Feta,1
Afternoon with the baker,Granola,1
Afternoon with the baker,Hot chocolate,1
Afternoon with the baker,Juice,2
Afternoon with the baker,Scandinavian,1
Afternoon with the baker,Smoothies,1
Afternoon with the baker,Soup,1
Afternoon with the baker,Spanish Brunch,2
Afternoon with the baker,Tea,3
Afternoon with the baker,The Nomad,1
Afternoon with the baker,Truffles,1
Alfajores,Alfajores,25
Alfajores,Art Tray,3
Alfajores,Baguette,5
Alfajores,Bakewell,2
Alfajores,Bread,121
Alfajores,Brioche and salami,1
Alfajores,Brownie,27
Alfajores,Cake,44
Alfajores,Chicken Stew,3
Alfajores,Chocolates,1
Alfajores,Coffee,268
Alfajores,Coke,7
Alfajores,Cookies,27
Alfajores,Crepes,3
Alfajores,Crisps,1
Alfajores,Dulce de Leche,3
Alfajores,Eggs,1
Alfajores,Ella's Kitchen Pouches,1
Alfajores,Empanadas,1
Alfajores,Farm House,4
Alfajores,Focaccia,4
Alfajores,Frittata,2
Alfajores,Fudge,8
Alfajores,Hearty & Seasonal,8
Alfajores,Hot chocolate,39
Alfajores,Jam,2
Alfajores,Jammie Dodgers,4
Alfajores,Juice,30
Alfajores,Keeping It Local,1
Alfajores,Medialuna,33
Alfajores,Mineral water,12
Alfajores,Muffin,17
Alfajores,My-5 Fruit Shoot,2
Alfajores,Pastry,37
Alfajores,Pick and Mix Bowls,1
Alfajores,Salad,3
Alfajores,Sandwich,42
Alfajores,Scandinavian,15
Alfajores,Scone,14
Alfajores,Smoothies,4
Alfajores,Soup,7
Alfajores,Spanish Brunch,10
Alfajores,Tacos/Fajita,1
Alfajores,Tartine,1
Alfajores,Tea,73
Alfajores,The Nomad,1
Alfajores,Tiffin,8
Alfajores,Toast,6
Alfajores,Truffles,11
Alfajores,Vegan mincepie,3
Alfajores,Victorian Sponge,1
Argentina Night,Bread,1
Argentina Night,Granola,1
Argentina Night,Sandwich,1
Argentina Night,Tea,2
Argentina Night,Vegan Feast,1
Art Tray,Bacon,1
Art Tray,Baguette,1
Art Tray,Bakewell,1
Art Tray,Bare Popcorn,1
Art Tray,Bread,6
Art Tray,Brownie,4
Art Tray,Cake,3
Art Tray,Chicken Stew,2
Art Tray,Coffee,37
Art Tray,Coke,1
Art Tray,Cookies,4
Art Tray,Frittata,2
Art Tray,Hack the stack,2
Art Tray,Hearty & Seasonal,4
Art Tray,Hot chocolate,7
Art Tray,Jammie Dodgers,1
Art Tray,Juice,8
Art Tray,Keeping It Local,1
Art Tray,Medialuna,1
Art Tray,Muffin,3
Art Tray,My-5 Fruit Shoot,2
Art Tray,Panatone,1
Art Tray,Pastry,2
Art Tray,Salad,3
Art Tray,Sandwich,8
Art Tray,Scone,1
Art Tray,Soup,7
Art Tray,Spanish Brunch,4
Art Tray,Tartine,1
Art Tray,Tea,13
Art Tray,The Nomad,1
Art Tray,Toast,2
Art Tray,Truffles,2
Bacon,Coffee,2
Bacon,Juice,1
Baguette,Bakewell,2
Baguette,Bread,27
Baguette,Brownie,6
Baguette,Cake,9
Baguette,Christmas common,1
Baguette,Coffee,37
Baguette,Coke,1
Baguette,Cookies,10
Baguette,Extra Salami or Feta,1
Baguette,Farm House,6
Baguette,Fudge,1
Baguette,Hot chocolate,5
Baguette,Juice,3
Baguette,Medialuna,7
Baguette,Muffin,3
Baguette,Pastry,8
Baguette,Salad,4
Baguette,Sandwich,3
Baguette,Scandinavian,9
Baguette,Scone,4
Baguette,Spanish Brunch,3
Baguette,Tea,3
Baguette,Toast,4
Baguette,Truffles,3
Baguette,Vegan mincepie,1
Bakewell,Bread,11
Bakewell,Brownie,2
Bakewell,Cake,8
Bakewell,Chicken Stew,1
Bakewell,Coffee,37
Bakewell,Coke,1
Bakewell,Cookies,4
Bakewell,Farm House,1
Bakewell,Hot chocolate,3
Bakewell,Jammie Dodgers,2
Bakewell,Juice,6
Bakewell,Lemon and coconut,1
Bakewell,Medialuna,2
Bakewell,Mineral water,1
Bakewell,Muffin,1
Bakewell,Pastry,3
Bakewell,Salad,1
Bakewell,Sandwich,5
Bakewell,Scone,1
Bakewell,Smoothies,1
Bakewell,Soup,2
Bakewell,Spanish Brunch,1
Bakewell,Tea,13
Bakewell,Toast,3
Bakewell,Truffles,1
Bare Popcorn,Brownie,1
Bare Popcorn,Cake,1
Bare Popcorn,Coffee,5
Bare Popcorn,Cookies,2
Bare Popcorn,Crisps,1
Bare Popcorn,Ella's Kitchen Pouches,1
Bare Popcorn,Extra Salami or Feta,1
Bare Popcorn,Farm House,1
Bare Popcorn,Hot chocolate,1
Bare Popcorn,Juice,2
Bare Popcorn,Muffin,1
Bare Popcorn,Panatone,1
Bare Popcorn,Salad,1
Bare Popcorn,Sandwich,1
Bare Popcorn,Spanish Brunch,1
Basket,Bread,2
Basket,Coffee,5
Basket,Farm House,1
Basket,Hot chocolate,2
Bowl Nic Pitt,Brownie,1
Bowl Nic Pitt,Coffee,2
Bowl Nic Pitt,Frittata,1
Bowl Nic Pitt,Hearty & Seasonal,1
Bowl Nic Pitt,Muffin,1
Bowl Nic Pitt,Soup,1
Bread Pudding,Coffee,4
Bread Pudding,Fudge,1
Bread Pudding,Jam,1
Bread Pudding,Sandwich,1
Bread Pudding,Soup,1
Bread,Bread,239
Bread,Brioche and salami,2
Bread,Brownie,115
Bread,Cake,255
Bread,Caramel bites,1
Bread,Chicken Stew,29
Bread,Chocolates,2
Bread,Christmas common,4
Bread,Coffee,1081
Bread,Coke,20
Bread,Cookies,149
Bread,Crepes,1
Bread,Crisps,4
Bread,Drinking chocolate spoons,6
Bread,Duck egg,2
Bread,Dulce de Leche,4
Bread,Eggs,16
Bread,Ella's Kitchen Pouches,5
Bread,Empanadas,3
Bread,Extra Salami or Feta,11
Bread,Farm House,51
Bread,Focaccia,19
Bread,Frittata,27
Bread,Fudge,38
Bread,Gift voucher,1
Bread,Gingerbread syrup,1
Bread,Granola,9
Bread,Hearty & Seasonal,30
Bread,Honey,2
Bread,Hot chocolate,147
Bread,Jam,51
Bread,Jammie Dodgers,49
